и	i
боги	ˈboɡɪ
исходе	ɪˈsxode
гуще	ˈɡuɕːe
бабушку	ˈbabʊʂkʊ
фраз	fras
вертолета	
натрия	ˈnatrɪjə
ученика	uˈt͡ʃɛnika
беседовал	bɪˈsedəvəɫ
марте	ˈmarte
фамилией	fɐˈmilɪjɪj
прост	prɔst
плохие	
стрельба	strɪlˈba
зеркальце	ˈzerkəlt͡sə
назначают	nəznɐˈt͡ɕæjʊt
включить	fklʉˈt͡ɕit
реального	
пускать	pʊˈskat
научные	
глины	ˈɡlinɨ
бензина	bɪnˈzinə
тюрьма	tʉrˈma
молодыми	məɫɐˈdɨmɪ
соображений	sɐɐbrɐˈʐɛnɪj
дальнего	
условии	ʊsˈɫovɪɪ
выдержать	ˈvɨdɪrʐət
обкома	ɐpˈkomə
соседству	sɐˈset͡stvʊ
заработал	zərɐˈbotəɫ
посредине	pəsrɪˈdine
последовало	pɐsˈledəvəɫə
слуги	ˈsɫuɡi
веселой	
задачей	zɐˈdat͡ɕɪj
урожай	oroˈʒa̟j
редких	
целой	
музыкантов	mʊzɨˈkantəf
некоторыми	
лужи	ˈɫuʐɨ
глазками	ˈɡɫaskəmɪ
открытые	ɐtˈkrɨtɨje
быта	ˈbɨtə
шутит	ˈʂutɪt
размаху	rɐzˈmaxʊ
горизонт	ɡərɪˈzont
пулеметов	
построил	postroˈiɫ
пулей	ˈpulɪj
рекомендуется	rɪkəmɪnˈdujɪt͡sə
прыгали	ˈprɨɡəlɪ
поймали	pɐjˈmalɪ
бригаде	brɪˈɡade
ползли	pɐɫzˈli
погоды	pɐˈɡodɨ
штурман	şturman
меню	mɛˈnu̟
хвоста	xvɐˈsta
замолчали	zəmɐɫˈt͡ɕælɪ
ракет	rɐˈket
прозы	ˈprozɨ
продажи	prɐˈdaʐɨ
позвонили	pəzvɐˈnilɪ
подтверждение	pətːvɪrʐˈdenɪje
аэропорта	ɐɪrɐˈportə
разговаривает	rəzɡɐˈvarɪvəjɪt
целого	ˈt͡sɛɫəvə
возвращение	vəzvrɐˈɕːenɪje
терапии	tɪrɐˈpiɪ
серьезной	
прикрикнул	prɪˈkriknʊɫ
щекой	ɕːɪˈkoj
приносили	prɪnɐˈsilɪ
росту	ˈrostʊ
грустью	ˈɡrustjʊ
манер	mɐˈner
арест	ɐˈrɛst
направил	nɐˈpraviɫ
королева	kərɐˈlevə
выходные	vɨxɐdˈnɨje
отцы	ɐˈt͡sːɨ
доходит	dɐˈxodɪt
догнать	dɐɡˈnat
здоровьем	zdɐˈrovjɪm
наслаждение	nəsɫɐʐˈdenɪje
рукою	ruˈkoju
выпустить	ˈvɨpʊstɪt
снимают	snɪˈmajʊt
ошибаюсь	ɐʂɨˈbajʉs
встрепенулся	fstrɪpɪˈnuɫsə
выиграть	ˈvɨɪɡrət
орган	instrument
колодец	kɐˈɫodɪt͡s
тоску	tɐˈsku
полезли	pɐˈlezlɪ
вечерней	vɪˈt͡ɕernɪj
взяться	ˈvzat͡sːə
равновесия	rəvnɐˈvesɪjə
звонки	ˈzvonkɪ
каши	ˈkaʃi
слуга	sɫoˈɡa
побег	pɐˈbek
имеющий	ɪˈmejʉɕːɪj
тьму	tmu
съезде	ˈsjezde
конструкции	kɐnˈstrukt͡sɨɪ
следствием	ˈslet͡stvɪjɪm
мелкой	ˈmeɫkəj
принципу	ˈprint͡sɨpʊ
перехватил	pɪrɪxvɐˈtiɫ
физиономию	fɪzɪɐˈnomɪjʊ
присела	prɪˈseɫə
паром	pɐˈrom
познания	pɐzˈnanɪjə
почувствовав	pɐˈt͡ɕustvəvəf
краям	krɐˈjam
чужом	t͡ɕʊˈʐom
дыру	dɨˈru
бледно	ˈblednə
меча	ˈmɛt͡ʃɐ
максимум	ˈmaksimum
пляж	plaž
повернула	pəvɪrˈnuɫə
знакомо	znɐˈkomə
скатерть	ˈskatɪrt
жизненный	ˈʐɨznɪnːɨj
мудрости	ˈmudrɔsti
направились	nɐˈpravɪlɪs
заведующий	zɐˈvedʊjʉɕːɪj
дождаться	dɐʐˈdat͡sːə
карьера	kɐˈrjerə
поляну	pɐˈlanʊ
обезьян	ɐbɪˈzjan
дожди	ˈdɔʒdi
заглядывая	zɐˈɡladɨvəjə
ванну	ˈvanːʊ
напасть	nɐˈpast
святых	svɪˈtɨx
раздражения	rəzdrɐˈʐɛnɪjə
тонкую	
возбужденно	
почерком	ˈpot͡ɕɪrkəm
железным	
выдавил	ˈvɨdəvɪɫ
утверждение	ʊtvɪrʐˈdenɪje
недоволен	nɛˈdɔvɔlɛn
волков	vɐɫˈkof
открытом	
грубый	ˈɡrubɨj
намек	ˈnamɛk
спроси	sprɐˈsi
дорожки	dɐˈroʂkɪ
армий	ˈarmɪj
наряд	nɐˈrat
представлений	prɪt͡stɐˈvlenɪj
безошибочно	bɪzɐˈʂɨbət͡ɕnə
вершину	vɪrˈʂɨnʊ
тихая	
приносил	prɪnɐˈsiɫ
спрашивается	ˈspraʂɨvəjɪt͡sə
бойтесь	ˈbojtɪs
инструменты	ɪnstrʊˈmentɨ
шапка	szapka
защита	zɐʃˈtitɐ
занимали	zənɪˈmalɪ
школьной	
кружок	krʊˈʐok
камне	ˈkamne
строил	stroˈiɫ
гнать	ɡnat
немецким	nɪˈmet͡skɪm
современный	səvrɪˈmenːɨj
медицины	mɪdɪˈt͡sɨnɨ
вытащили	ˈvɨtəɕːɪlɪ
именами	ɪmɪˈnamɪ
приеме	
рана	ˈrana
книжке	ˈkniʂke
колонну	kɐˈɫonːʊ
презрением	prɪzˈrenɪjɪm
рубеж	roˈbɛʃ
кошку	ˈkoʂku
почву	ˈpot͡ɕvʊ
желанию	ʐɨˈɫanɪjʊ
почек	ˈpot͡ɕɪk
издание	izˈdanijɛ
выдали	ˈvɨdəlɪ
повышения	pəvɨˈʂɛnɪjə
неприятный	nɪprɪˈjatnɨj
спиртом	ˈspirtəm
солнышко	ˈsoɫnɨʂkə
ранней	
дю	
единственную	
представлялось	prɪt͡stɐˈvlaɫəs
возиться	vɐˈzit͡sːə
мелким	
кушать	ˈkuʂət
минуточку	mɪˈnutət͡ɕkʊ
разозлился	rəzɐzˈliɫsə
запустил	zəpʊˈstiɫ
держи	dɪrˈʐɨ
опасный	ɐˈpasnɨj
течения	ˈtɛt͡ʃɛnijɐ
ясным	
летней	
негодяй	nɛɡoˈda̟j
похожего	
подойдя	pədɐjˈda
прозвищу	ˈprozvɪɕːʊ
физик	fizik
гроба	ˈɡrobə
тряпкой	ˈtrapkəj
передали	ˈperɪdəlɪ
умная	
выглядят	ˈvɨɡlɪdət
символ	v
расстройства	rɐsːˈtrojstvə
мировую	
ванны	ˈvanːɨ
позвать	pɐzˈvat
свернули	svɪrˈnulɪ
посторонних	pəstɐˈronːɪx
слушают	ˈsɫuʂəjʊt
президенту	prɪzɪˈdentʊ
мусора	ˈmusərə
подсказал	pət͡sskɐˈzaɫ
верила	ˈverɪɫə
снежной	ˈsneʐnəj
выполнения	vɨpɐɫˈnenɪjə
куст	kust
беспокоит	bɪspɐˈkoɪt
пустом	
знаков	ˈznakəf
грязно	ˈɡraznə
долине	dɐˈline
ворвался	vɐrˈvaɫsə
батя	ˈbatə
силен	ˈsilɛn
прыгать	ˈprɨɡət
бревен	
прокричал	prəkrɪˈt͡ɕaɫ
министром	mɪˈnistrəm
испытывает	ɪˈspɨtɨvəjɪt
толпились	tɐɫˈpilɪs
плану	ˈpɫanʊ
гулко	ˈɡuɫkə
бороды	bərɐˈdɨ
необходим	nɛopxoˈdim
мебели	ˈmɛbɛli
нетерпением	nɪtɪrˈpenɪjɪm
претензии	prɪˈtɛnzɪɪ
праздники	ˈpraznɪkɪ
вверху	vːɪrˈxu
чудовище	t͡ɕʊˈdovɪɕːe
врагу	vrɐˈɡu
деталь	dɪˈtal
удав	ˈudaf
красотой	krəsɐˈtoj
проиграл	prəɪˈɡraɫ
некоторую	
нынешний	ˈnɨnɪʂnɪj
помощника	pɐˈmoʂnɪkə
объектов	ɐbˈjektəf
патронов	pɐˈtronəf
задавал	zədɐˈvaɫ
желаний	ʐɨˈɫanɪj
современные	
вспыхнула	ˈfspɨxnʊɫə
выражению	vɨrɐˈʐɛnɪjʊ
толстыми	
голубое	
сумела	sʊˈmeɫə
желтого	
разговаривают	rəzɡɐˈvarɪvəjʊt
подобной	pɐˈdobnəj
звучало	zvʊˈt͡ɕaɫə
углы	ʊˈɡɫɨ
психологии	psɪxɐˈɫoɡɪɪ
документа	dəkʊˈmentə
малянов	
выкрикнул	ˈvɨkrɪknʊɫ
отставку	ɐt͡sˈstafkʊ
глубоком	
мощи	body
крепкого	
заглянула	zəɡlɪˈnuɫə
двинулась	ˈdvinʊɫəs
большего	ˈbolʂɨvə
берется	
вконец	fkɐˈnet͡s
нижнюю	
свернуть	svɪrˈnut
комитет	komiˈtɛt
жениха	ʐɨnɪˈxa
интереснее	ɪntɪˈresnɪje
крепким	
создали	ˈsozdəlɪ
сменил	smɪˈniɫ
атмосферы	ɐtmɐˈsferɨ
удивительное	
нуль	nul
романы	rɐˈmanɨ
пользовались	ˈpolzəvəlɪs
объяснений	ɐbjɪsˈnenɪj
лопатой	ɫɐˈpatəj
приобретает	prɪəbrɪˈtajɪt
местность	ˈmesnəst
настоящем	nəstɐˈjæɕːɪm
судов	sʊˈdof
синяя	ˈsinɪjə
болел	bɐˈleɫ
одиннадцати	ɐˈdinət͡sːɨtɪ
солдатам	sɐɫˈdatəm
убивали	oˈbivɐli
фирме	ˈfirme
будущим	ˈbudʊɕːɪm
разведка	rɐzˈvetkə
бомбу	ˈbombʊ
пианино	pɪɐˈninə
талантливый	tɐˈɫantlɪvɨj
гнезда	ˈɡnɛzda
прыгал	ˈprɨɡəɫ
горшок	ɡɐrˈʂok
ведущих	vɪˈduɕːɪx
коммунист	kommunist
флот	flot
сложилась	sɫɐˈʐɨɫəs
сомнением	sɐˈmnenɪjɪm
режиме	rɪˈʐɨme
богов	bɐˈɡof
понравится	pɐnˈravɪt͡sə
компаний	kɐmˈpanɪj
скамье	skɐˈmje
плохая	
змеи	zmɪˈi
решению	rɪˈʂɛnɪjʊ
блага	ˈbɫaɡə
ведущей	vɪˈduɕːɪj
бормочет	bɐrˈmot͡ɕɪt
мыло	ˈmɨɫə
понравились	pɐnˈravɪlɪs
дереву	ˈderɪvʊ
художники	xʊˈdoʐnɪkɪ
начальники	nɐˈt͡ɕælnɪkɪ
отдельности	ɐˈdːelnəstɪ
замолчала	zəmɐɫˈt͡ɕaɫə
иная	ɪˈnajə
взревел	vzrɪˈveɫ
алкоголя	ɐɫkɐˈɡolə
океане	ɐkɪˈane
искоса	ˈiskəsə
уставились	ʊˈstavɪlɪs
нефть	ˈɲefc
раздались	rəzdɐˈlis
аэродром	ɐɪrɐˈdrom
огромном	
лидер	ˈlidɛr
убрал	ʊˈbraɫ
насторожился	nəstərɐˈʐɨɫsə
рану	ˈranʊ
хутора	ˈxutərə
кают	kɐˈjut
кормили	kɐrˈmilɪ
ухожу	ʊxɐˈʐu
дона	ˈdonə
собирает	səbɪˈrajɪt
выпустили	ˈvɨpʊstɪlɪ
явным	
подозрение	pɔdɔˈzrɛnijɛ
озираясь	ɐzɪˈrajɪs
облегчение	ɐblɪxˈt͡ɕenɪje
сложные	
приоткрыл	prɪɐtˈkrɨɫ
дается	
косой	kɐˈsoj
желтая	
расскажи	rəskɐˈʐɨ
мышления	mɨʂˈlenɪjə
выставил	ˈvɨstəvɪɫ
использовал	ɪˈspolzəvəɫ
личная	
эхо	ˈɛxə
второму	ftɐˈromʊ
коньяку	kənjɪˈku
блок	bɫɔk
ревом	
смешной	smɪʂˈnoj
рации	ˈrat͡sɨɪ
теоретически	tɪərɪˈtit͡ɕɪskɪ
почудилось	pɐˈt͡ɕʉdɪɫəs
зажмурился	zɐʐˈmurɪɫsə
отдала	ɐdːɐˈɫa
попрошу	pəprɐˈʂu
горсть	ɡorst
встретимся	ˈfstretɪmsə
ходи	ˈxɔdi
надеется	nɐˈdejɪt͡sə
недостаточности	nɪdɐˈstatət͡ɕnəstɪ
став	ˈstaʋ
шерсти	ˈʂɛrstɪ
тряпку	ˈtrapkʊ
договориться	dəɡəvɐˈrit͡sːə
рты	rtɨ
неясно	nɪˈjasnə
заинтересовался	zəɪntɪrɪsɐˈvaɫsə
узких	
вынула	ˈvɨnʊɫə
определенный	ɐprɪdɪˈlɵnːɨj
нагло	ˈnaɡɫɔ
наперед	
успеет	ʊˈspejɪt
присутствовал	prɪˈsut͡stvəvəɫ
вспышки	ˈfspɨʂkɪ
перемен	pɪrɪˈmen
ряде	ˈræde
семейной	
скрывал	skrɨˈvaɫ
раскрыть	rɐˈskrɨt
будить	bʊˈdit
башню	ˈbaʂnʊ
надобно	ˈnadəbnə
узком	
позиция	poˈzit͡sijɐ
владельца	vɫɐˈdelt͡sə
доли	ˈdolɪ
кормят	ˈkormət
расследование	rɐsːˈledəvənɪje
четверг	ˈt͡ɕetʋerɡ
незнакомых	nɪznɐˈkomɨx
ленты	ˈlentɨ
цирке	ˈt͡sɨrke
ми	mi
боев	ˈbojɪf
круглыми	
способностей	spɐˈsobnəstɪj
гляжу	ɡlɪˈʐu
топот	ˈtɔpɔt
собраться	sɐˈbrat͡sːə
королю	kərɐˈlu
записывать	zɐˈpisɨvət
консервы	kɐnˈservɨ
заслужил	zɐˈsɫuʒiɫ
премию	ˈpremɪjʊ
садиться	sɐˈdit͡sːə
тост	someone
повалился	pəvɐˈliɫsə
плод	płod
скамью	skɐˈmju
уверенный	ʊˈverɪnːɨj
трагедия	tragedia
входили	fxɐˈdilɪ
боитесь	bɐˈitɪs
детском	
поступила	pəstʊˈpiɫə
дорогих	dərɐˈɡix
слоев	
отряды	ɐˈtradɨ
остальном	ɐstɐlˈnom
шансов	ˈʂansəf
образуется	ɐbrɐˈzujɪt͡sə
березы	
обращение	ɐbrɐˈɕːenɪje
разберемся	
творческой	
правительству	prɐˈvitɪlstvʊ
расстаться	rɐsːˈtat͡sːə
интересовало	ɪntɪrɪsɐˈvaɫə
круглой	
чтения	ˈt͡ɕtenɪjə
нормальным	
господину	ɡəspɐˈdinʊ
принадлежат	prɪnədlɪˈʐat
прежних	
испытать	ɪspɨˈtat
плоти	ˈpɫotɪ
пазуху	ˈpazʊxʊ
кривой	krɪˈvoj
звездами	
выпускать	vɨpʊˈskat
общественное	
губернатора	ɡʊbɪrˈnatərə
верхнюю	
кулаке	kʊɫɐˈke
называла	nəzɨˈvaɫə
короткую	
эфир	efir
скорую	ˈskorʊjʊ
компанией	kɐmˈpanɪjɪj
столами	stɐˈɫamɪ
позиций	pɐˈzit͡sɨj
существовали	sʊɕːɪstvɐˈvalɪ
ожидает	ɐʐɨˈdajɪt
мешают	mɪˈʂajʊt
письменный	ˈpismɪnːɨj
потащил	pətɐˈɕːiɫ
потянуло	pətɪˈnuɫə
попробуем	pɐˈprobʊjɪm
веранде	vɪˈrande
раздается	
даму	damu
отличный	ɐtˈlit͡ɕnɨj
воздействие	vɐzˈdejstvɪje
угля	ˈuɡlə
веками	vɪˈkamɪ
скал	skaɫ
крупная	ˈkrupnəjə
красно	ˈkrasnɔ
глухим	ɡɫʊˈxim
сотрудника	sɐˈtrudnɪkə
пожить	pɐˈʐɨt
общежитие	ɐpɕːɪˈʐɨtɪje
воспитывать	vɐˈspitɨvət
вцепился	ft͡sɨˈpiɫsə
порыв	pɐˈrɨf
свадьбе	ˈsvadbe
визу	ˈvizʊ
мужество	ˈmuʐɨstvə
москвичей	məskvɪˈt͡ɕej
дальние	
досок	dɐˈsok
атмосфера	atmosfera
многого	ˈmnoɡəvə
гл	
низкой	
заместителя	zəmɪˈstitɪlə
волей	ˈvolɪj
отвращением	ɐtvrɐˈɕːenɪjɪm
краев	
найдете	
вертел	ˈvertɪɫ
возбуждение	vəzbʊʐˈdenɪje
мчался	ˈmt͡ɕaɫsə
коснулся	kɐsˈnuɫsə
подает	
большевики	bəlʂɨvɪˈki
родина	roˈdinɐ
милость	ˈmiɫəst
торчат	tɐrˈt͡ɕat
резать	ˈrezət
придерживая	prɪˈderʐɨvəjə
осмотреть	ɐsmɐˈtret
почте	ˈpot͡ɕte
бывшая	
придя	prɪˈda
отмечается	ɐtmɪˈt͡ɕæjɪt͡sə
аппетита	ɐpɪˈtitə
действием	ˈdejstvɪjɪm
оврага	ɐˈvraɡə
свадьба	ˈsvadbə
подготовке	pədɡɐˈtofke
находясь	nəxɐˈdæs
гномов	ˈɡnoməf
тряпки	ˈtrapkɪ
производстве	prəɪzˈvot͡stve
определения	ɐprɪdɪˈlenɪjə
подчеркнуть	pət͡ɕːɪrkˈnut
электрический	ɪlɪkˈtrit͡ɕɪskɪj
поездка	pɐˈjestkə
финансовых	
наступило	nəstʊˈpiɫə
поэтом	pɐˈɛtəm
слышится	ˈsɫɨʂɨt͡sə
списки	ˈspiskɪ
противоречия	prətɪvɐˈret͡ɕɪjə
почувствовали	pɐˈt͡ɕustvəvəlɪ
шофером	ˈʂofɪrəm
заведения	zɐˈvɛdɛnijɐ
дав	ˈdaʋ
веток	ˈvetək
больному	bɐlˈnomʊ
поверила	pɐˈverɪɫə
звоном	ˈzvonəm
вызывая	vɨzɨˈvajə
результатом	rɪzʊlˈtatəm
стрелка	ˈstrɛɫka
бросали	brɐˈsalɪ
навестить	nəvɪˈstit
восстановления	vəsːtənɐˈvlenɪjə
используются	ɪˈspolzʊjʊt͡sə
провал	prɐˈvaɫ
уложил	ʊɫɐˈʐɨɫ
выполнял	vɨpɐɫˈnaɫ
лишен	ˈliʃɛn
сухая	
командовать	kɐˈmandəvət
поглядеть	pəɡlɪˈdet
даты	ˈdatɨ
делегации	dɪlɪˈɡat͡sɨɪ
глубокая	
обратили	ɐbrɐˈtilɪ
обществом	ˈopɕːɪstvəm
недоумение	nɛdɔuˈmɛnijɛ
банков	ˈbankəf
уголке	ʊɡɐɫˈke
справился	ˈspravɪɫsə
обеду	ɐˈbedʊ
участием	ʊˈt͡ɕæstɪjɪm
влюбился	vlʉˈbiɫsə
изумлением	ɪzʊˈmlenɪjɪm
реализации	rɪəlɪˈzat͡sɨɪ
измерение	ɪzmɪˈrenɪje
солдатами	sɐɫˈdatəmɪ
дорогам	dɐˈroɡəm
игр	iɡr
подпрыгнул	pɐtˈprɨɡnʊɫ
рвать	rvat
отличить	ɐtlɪˈt͡ɕit
начиналось	nət͡ɕɪˈnaɫəs
валенки	ˈvalɪnkɪ
трупа	ˈtrupa
благ	bɫak
ресницами	rɪsˈnit͡səmɪ
нервный	ˈnervnɨj
офис	ˈɔfis
беречь	bɪˈret͡ɕ
непонятное	
постараюсь	pəstɐˈrajʉs
передумал	pɪrɪˈduməɫ
просыпался	prəsɨˈpaɫsə
пригодится	prɪɡɐˈdit͡sːə
мода	ˈmɔdɐ
старшины	stərʂɨˈnɨ
вздыхал	vzdɨˈxaɫ
подожди	pədɐʐˈdi
завистью	ˈzavɪstjʊ
сочинил	sət͡ɕɪˈniɫ
дну	dnu
собираешься	səbɪˈrajɪʂsə
солнцу	ˈsont͡sʊ
изделия	ɪzˈdelɪjə
император	impɛˈrator
поискать	pəɪˈskat
окружили	ɐkrʊˈʐɨlɪ
девочке	ˈdevət͡ɕke
овощи	ˈovəɕːɪ
материальных	
капитал	kapital
объявила	ɐbjɪˈviɫə
рыбаки	rɨbɐˈki
прощанье	prɐˈɕːænje
живую	
выложил	ˈvɨɫəʐɨɫ
объясню	ɐbjɪsˈnu
разговорах	rəzɡɐˈvorəx
народные	
замечания	zəmɪˈt͡ɕænɪjə
богатые	
витрины	vɪˈtrinɨ
состоится	səstɐˈit͡sːə
деталей	dɪˈtalɪj
склонен	ˈskɫɔnɛn
вопросе	vɐˈprose
известна	ɪzˈvesnə
учения	ˈut͡ʃɛnijɐ
головою	ɡəɫɐˈvojʊ
любителей	lʉˈbitɪlɪj
узлы	ʊzˈɫɨ
хутор	ˈxutər
сестер	ˈsɛster
некую	
приятели	prɪˈjætɪlɪ
наукой	nɐˈukəj
колесами	
стволов	stvɐˈɫof
пожилая	
майке	ˈmajke
общественности	ɐpˈɕːestvɪnːəstɪ
технического	
соблюдать	səblʊˈdat
ветвей	vɪtˈvej
пробы	ˈprobɨ
небольших	nɪbɐlˈʂɨx
убивает	ʊbɪˈvajɪt
сопровождается	səprəvɐʐˈdajɪt͡sə
звучали	zvʊˈt͡ɕælɪ
инерции	ɪˈnɛrt͡sɨɪ
далеких	
поговорили	pəɡəvɐˈrilɪ
дрожит	drɐˈʐɨt
интересуют	ɪntɪrɪˈsujʊt
доказывал	dɐˈkazɨvəɫ
гитару	ɡɪˈtarʊ
иглы	ɪˈɡɫɨ
неприятное	
сложный	ˈsɫoʐnɨj
помогу	pəmɐˈɡu
казарме	kɐˈzarme
занималась	zənɪˈmaɫəs
чеченцы	t͡ɕɪˈt͡ɕent͡sɨ
